area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,price_per_sqft,location_grouped
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1565,2.0,2.0,56.34,1565.0,3,3600.0,Begur Road
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,Unknown,940,2.0,1.0,56.0,940.0,2,5957.446808510638,other
Super built-up  Area,18-Jun,Yarandahalli,2 BHK,Unknown,1015,2.0,1.0,40.1,1015.0,2,3950.7389162561576,other
Plot  Area,Ready To Move,BTM 2nd Stage,3 Bedroom,Unknown,2400,2.0,0.0,360.0,2400.0,3,15000.0,BTM 2nd Stage
Super built-up  Area,Ready To Move,Electronic City,3 BHK,SJityVe,1652,3.0,3.0,110.0,1652.0,3,6658.595641646489,Electronic City
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1100,2.0,2.0,52.0,1100.0,2,4727.272727272727,Whitefield
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,4.0,1.0,145.0,2340.0,4,6196.581196581196,Rajiv Nagar
Super built-up  Area,21-Jul,Koramangala,2 BHK,G ceses,1084,2.0,1.0,179.0,1084.0,2,16512.91512915129,Koramangala
Plot  Area,Ready To Move,Kammanahalli,2 Bedroom,Unknown,1200,1.0,1.0,81.0,1200.0,2,6750.0,Kammanahalli
Super built-up  Area,Ready To Move,Kacharakanahalli,3 BHK,JPoldGo,1400,3.0,3.0,69.0,1400.0,3,4928.571428571428,other
Plot  Area,16-Mar,HBR Layout,4 Bedroom,Unknown,2400,5.0,0.0,320.0,2400.0,4,13333.333333333334,HBR Layout
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,27.43,1020.0,2,2689.2156862745096,Electronic City Phase II
Super built-up  Area,Ready To Move,Whitefield,2 BHK,PritaDo,1267,2.0,1.0,90.33,1267.0,2,7129.439621152328,Whitefield
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,185.0,2439.0,4,7585.075850758508,Bhoganhalli
Built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1645,3.0,2.0,95.0,1645.0,3,5775.075987841945,other
Built-up  Area,18-Dec,Electronic City,3 BHK,Unknown,1320,2.0,1.0,38.12,1320.0,3,2887.8787878787875,Electronic City
Super built-up  Area,18-Apr,Ananth Nagar,2 BHK,Unknown,1000,2.0,1.0,29.7,1000.0,2,2970.0,Ananth Nagar
Built-up  Area,Ready To Move,KR Puram,6 Bedroom,Unknown,2500,6.0,3.0,58.0,2500.0,6,2320.0,KR Puram
Plot  Area,Ready To Move,Kengeri Satellite Town,2 Bedroom,Unknown,2480,2.0,1.0,160.0,2480.0,2,6451.612903225807,Kengeri Satellite Town
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,JRaderc,1086,2.0,2.0,44.5,1086.0,2,4097.605893186003,Kalyan nagar
Super built-up  Area,18-Nov,Kengeri,1 BHK,VBn 2lm,416,1.0,1.0,18.0,416.0,1,4326.923076923077,Kengeri
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1066,2.0,1.0,52.23,1066.0,2,4899.624765478424,Hennur Road
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,1730,3.0,1.0,93.0,1730.0,3,5375.722543352601,OMBR Layout
Super built-up  Area,20-Jan,Balagere,2 BHK,Soresea,1205,2.0,1.0,63.86,1205.0,2,5299.585062240664,Balagere
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2500,5.0,2.0,175.0,2500.0,4,7000.0,Marathahalli
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,DStik S,960,2.0,1.0,55.0,960.0,2,5729.166666666667,Subramanyapura
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1510,3.0,2.0,83.05,1510.0,3,5500.0,Haralur Road
Built-up  Area,Ready To Move,Kanaka Nagar,4 Bedroom,Unknown,1600,4.0,2.0,90.0,1600.0,4,5625.0,other
Built-up  Area,Ready To Move,Old Madras Road,3 Bedroom,GRlas V,2300,3.0,2.0,142.0,2300.0,3,6173.913043478261,Old Madras Road
Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,Unknown,1000,2.0,1.0,63.0,1000.0,2,6300.0,other
Super built-up  Area,19-Sep,Hormavu,3 BHK,Unknown,1553,2.0,2.0,58.23,1553.0,3,3749.5170637475853,Hormavu
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Asuilnc,3436,5.0,2.0,345.0,3436.0,4,10040.745052386495,Frazer Town
Super built-up  Area,18-Aug,Seegehalli,2 BHK,Unknown,1134,2.0,2.0,45.0,1134.0,2,3968.253968253968,Seegehalli
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,Unknown,2400,3.0,3.0,80.0,2400.0,5,3333.3333333333335,Horamavu Agara
Plot  Area,18-Nov,Whitefield,4 Bedroom,Unknown,2400,4.0,1.0,143.0,2400.0,4,5958.333333333333,Whitefield
Super built-up  Area,Ready To Move,Nagashetty Halli,2 BHK,Unknown,1350,2.0,2.0,65.0,1350.0,2,4814.814814814815,other
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Unknown,1032,2.0,1.0,42.0,1032.0,2,4069.767441860465,Sarjapur
Super built-up  Area,Ready To Move,Tigalarpalya,3 BHK,Spess C,1998,3.0,2.0,117.0,1998.0,3,5855.855855855856,other
Super built-up  Area,18-Aug,Murugeshpalya,2 BHK,Unknown,1225,2.0,2.0,48.0,1225.0,2,3918.3673469387754,Murugeshpalya
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1262,2.0,2.0,67.0,1262.0,2,5309.033280507131,Sarjapur  Road
Super built-up  Area,Ready To Move,Thomas Town,2 BHK,TuiteIn,1300,2.0,1.0,60.0,1300.0,2,4615.384615384615,other
Super built-up  Area,18-Jun,Kothannur,2 BHK,Unknown,1070,2.0,2.0,38.6,1070.0,2,3607.4766355140187,Kothannur
Built-up  Area,21-Dec,"Electronic city Phase 1,",2 BHK,Unknown,950,2.0,1.0,33.0,950.0,2,3473.684210526316,other
Super built-up  Area,18-Mar,Balagere,2 BHK,Soresea,1012,2.0,1.0,53.58,1012.0,2,5294.466403162055,Balagere
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,Unknown,1000,2.0,0.0,70.0,1000.0,2,7000.0,TC Palaya
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,KMnorab,1394,2.0,2.0,56.0,1394.0,2,4017.2166427546626,Kadugodi
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,Prentra,1450,2.0,1.0,85.0,1450.0,3,5862.068965517241,Amruthahalli
Super built-up  Area,Ready To Move,Banaswadi,1 RK,Krntsee,527,1.0,0.0,35.0,527.0,1,6641.366223908918,Banaswadi
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1693,3.0,2.0,125.0,1693.0,3,7383.343177790904,Sarjapur  Road
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,DSireSo,1000,2.0,1.0,46.0,1000.0,2,4600.0,Horamavu Agara
Built-up  Area,Ready To Move,Kogilu,2 BHK,Unknown,952,2.0,2.0,49.0,952.0,2,5147.058823529412,Kogilu
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2050,4.0,2.0,270.0,2050.0,3,13170.731707317073,Malleshwaram
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1410,2.0,2.0,64.0,1410.0,3,4539.007092198582,Mysore Road
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Goateds,1400,2.0,2.0,108.0,1400.0,2,7714.285714285715,Hebbal Kempapura
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,3056,5.0,2.0,100.0,3056.0,4,3272.251308900524,Chikka Tirupathi
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Saitya ,1826,3.0,2.0,125.0,1826.0,3,6845.564074479737,Sarjapur  Road
Super built-up  Area,18-Jun,Hosur Road,3 BHK,PuendWe,1689,3.0,2.0,103.0,1689.0,3,6098.283007696862,Hosur Road
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,31.0,1075.0,3,2883.720930232558,Bisuvanahalli
Super built-up  Area,Ready To Move,Hennur,2 BHK,Unknown,960,2.0,1.0,48.0,960.0,2,5000.0,Hennur
Built-up  Area,Ready To Move,Channasandra,2 BHK,Unknown,808,2.0,1.0,40.0,808.0,2,4950.495049504951,Channasandra
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Unknown,907,2.0,2.0,38.5,907.0,2,4244.7629547960305,Kodichikkanahalli
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,AkncyRe,1300,2.0,2.0,55.0,1300.0,2,4230.7692307692305,Uttarahalli
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,SodilDa,1804,3.0,2.0,150.0,1804.0,3,8314.855875831485,other
Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,Unknown,1350,3.0,2.0,81.0,1350.0,3,6000.0,other
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,1836,3.0,2.0,125.0,1836.0,3,6808.278867102396,Whitefield
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,Pry 2 R,826,2.0,2.0,36.0,826.0,2,4358.353510895884,other
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Undraro,1200,2.0,3.0,68.0,1200.0,2,5666.666666666667,Hormavu
Super built-up  Area,18-Dec,1st Block Koramangala,4 BHK,Unknown,3000,3.0,3.0,300.0,3000.0,4,10000.0,1st Block Koramangala
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,Unknown,2400,4.0,2.0,405.0,2400.0,4,16875.0,Indira Nagar
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,JClyner,1460,2.0,1.0,80.0,1460.0,2,5479.45205479452,6th Phase JP Nagar
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Vincyat,965,2.0,2.0,56.0,965.0,2,5803.108808290155,BTM 2nd Stage
Carpet  Area,Ready To Move,Kothannur,4 Bedroom,Unknown,2000,4.0,2.0,95.0,2000.0,4,4750.0,Kothannur
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Amconi ,1395,2.0,2.0,70.0,1395.0,3,5017.921146953405,Bhoganhalli
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,3.0,2.0,116.0,1660.0,3,6987.951807228916,Sarjapur  Road
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,Unknown,935,2.0,2.0,35.0,935.0,2,3743.3155080213905,other
Built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1090,2.0,1.0,31.48,1090.0,2,2888.0733944954127,Electronic City
Super built-up  Area,19-Jan,Kanakpura Road,2 BHK,PrityFa,1204,2.0,1.0,82.0,1204.0,2,6810.631229235881,Kanakpura Road
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,153.0,2072.0,3,7384.169884169884,Thigalarapalya
Built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2.0,1.0,65.0,1056.0,2,6155.30303030303,Haralur Road
Super built-up  Area,18-Dec,Hebbal,2 BHK,Magiaya,985,2.0,2.0,62.0,985.0,2,6294.416243654822,Hebbal
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Unknown,1315,2.0,2.0,49.0,1315.0,3,3726.235741444867,Banashankari Stage V
Built-up  Area,Ready To Move,KR Puram,2 BHK,Unknown,734,2.0,1.0,22.0,734.0,2,2997.275204359673,KR Puram
Built-up  Area,Ready To Move,Kammanahalli,4 Bedroom,Unknown,2900,4.0,2.0,200.0,2900.0,4,6896.551724137931,Kammanahalli
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,2317,4.0,3.0,140.0,2317.0,3,6042.296072507553,Yelahanka
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,Unknown,2200,3.0,0.0,115.0,2200.0,4,5227.272727272727,other
Super built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656,2.0,1.0,25.0,656.0,2,3810.9756097560976,Attibele
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 2hu,400,1.0,1.0,11.5,400.0,1,2875.0,Attibele
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,666,1.0,1.0,36.8,666.0,1,5525.525525525525,Yeshwanthpur
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1174,2.0,1.0,47.0,1174.0,2,4003.4071550255535,7th Phase JP Nagar
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2.0,2.0,56.7,1153.0,2,4917.606244579359,Budigere
Built-up  Area,Ready To Move,Narayanapura,5 BHK,Unknown,2400,5.0,2.0,85.0,2400.0,5,3541.6666666666665,Narayanapura
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,957,2.0,1.0,47.0,957.0,2,4911.180773249739,Marathahalli
Built-up  Area,17-Dec,Sarjapur  Road,2 BHK,Unknown,1060,2.0,1.0,50.0,1060.0,2,4716.981132075472,Sarjapur  Road
Super built-up  Area,18-Jul,Banashankari,2 BHK,Unknown,1000,2.0,1.0,50.0,1000.0,2,5000.0,Banashankari
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,88.0,1843.0,3,4774.823657080847,Kanakpura Road
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,1150,2.0,2.0,40.25,1150.0,3,3500.0,Kanakpura Road
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3197,5.0,2.0,335.0,3197.0,4,10478.573662808883,Kodihalli
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,DencyRe,1125,2.0,1.0,41.5,1125.0,2,3688.8888888888887,Kaval Byrasandra
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,SraveHi,1516,3.0,3.0,65.0,1516.0,3,4287.598944591029,Battarahalli
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Srluei ,1130,2.0,2.0,56.0,1130.0,2,4955.7522123893805,Brookefield
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,1.0,279.0,3596.0,4,7758.620689655172,Iblur Village
Super built-up  Area,19-Jun,Hosa Road,3 BHK,Sosisic,1512,3.0,2.0,103.0,1512.0,3,6812.169312169312,Hosa Road
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1491,3.0,1.0,88.0,1491.0,3,5902.079141515761,Thanisandra
Super built-up  Area,Ready To Move,Cox Town,2 BHK,Eledst ,1250,2.0,2.0,95.0,1250.0,2,7600.0,Cox Town
Super built-up  Area,18-Aug,Banashankari,3 BHK,Unknown,1650,3.0,2.0,90.75,1650.0,3,5500.0,Banashankari
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2.0,1.0,48.7,1140.0,2,4271.929824561404,Raja Rajeshwari Nagar
Plot  Area,Ready To Move,Behind Don Bosco Church,4 Bedroom,Unknown,1200,4.0,1.0,110.0,1200.0,4,9166.666666666666,other
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Rehtsna,1881,3.0,2.0,95.0,1881.0,3,5050.50505050505,Thanisandra
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,56.57,1100.0,3,5142.727272727273,Kanakpura Road
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,2666,4.0,1.0,200.0,2666.0,3,7501.875468867217,Iblur Village
Super built-up  Area,Ready To Move,Bagalur,2 BHK,Unknown,1500,2.0,1.0,50.0,1500.0,2,3333.3333333333335,other
Super built-up  Area,18-Dec,Seshadripuram,2 BHK,Unknown,1217,2.0,1.0,164.0,1217.0,2,13475.760065735414,other
Built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1197,2.0,1.0,50.0,1197.0,2,4177.109440267335,Whitefield
Built-up  Area,Ready To Move,BHEL Layout,6 Bedroom,Unknown,2400,4.0,1.0,170.0,2400.0,6,7083.333333333333,other
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1345,3.0,2.0,60.0,1345.0,3,4460.966542750929,Gollarapalya Hosahalli
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,Anineu ,3230,5.0,0.0,165.0,3230.0,4,5108.359133126935,Bannerghatta Road
Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,Unknown,1260,2.0,1.0,95.0,1260.0,3,7539.68253968254,Banashankari Stage II
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,VaMarll,2750,5.0,1.0,240.0,2750.0,4,8727.272727272728,Sarjapur  Road
Plot  Area,Ready To Move,9th Phase JP Nagar,2 Bedroom,Unknown,1200,2.0,0.0,80.0,1200.0,2,6666.666666666667,9th Phase JP Nagar
Built-up  Area,Ready To Move,Devara Jeevanahalli,3 Bedroom,Unknown,1650,3.0,0.0,52.0,1650.0,3,3151.5151515151515,other
Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,Unknown,600,1.0,0.0,45.0,600.0,1,7500.0,other
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shony S,1025,2.0,1.0,35.88,1025.0,2,3500.4878048780492,Uttarahalli
Super built-up  Area,18-Dec,Sarjapur,4 BHK,Kinuerg,1925 - 2680,4.0,2.0,80.59,2302.5,4,3500.108577633008,Sarjapur
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,973,2.0,1.0,56.0,973.0,2,5755.395683453237,Hennur Road
Super built-up  Area,19-Dec,Thanisandra main road,4 BHK,Unknown,4110,4.0,2.0,590.0,4110.0,4,14355.231143552312,other
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2533,3.0,3.0,425.0,2533.0,3,16778.523489932886,Rajaji Nagar
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,75.0,1007.0,2,7447.864945382324,Balagere
Super built-up  Area,19-Mar,Hosa Road,1 BHK,Skume R,615 - 985,1.0,0.0,39.99,800.0,1,4998.75,Hosa Road
Built-up  Area,18-Dec,Sarjapur  Road,3 Bedroom,Unknown,1830,3.0,1.0,119.0,1830.0,3,6502.732240437159,Sarjapur  Road
Super built-up  Area,Ready To Move,Nagavara,2 BHK,Unknown,1077,2.0,1.0,50.0,1077.0,2,4642.525533890436,Nagavara
Plot  Area,Ready To Move,Immadihalli,1 Bedroom,Unknown,672,1.0,1.0,27.0,672.0,1,4017.8571428571427,other
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,Unknown,1280,3.0,0.0,87.0,1280.0,3,6796.875,other
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,865,2.0,0.0,40.0,865.0,2,4624.277456647399,Electronics City Phase 1
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,ARomee ,1000,2.0,2.0,33.0,1000.0,2,3300.0,Kalena Agrahara
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Chhamku,1285,2.0,2.0,65.0,1285.0,2,5058.365758754864,CV Raman Nagar
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Pronyt ,662,1.0,1.0,29.0,662.0,1,4380.664652567976,Thanisandra
Super built-up  Area,Ready To Move,Kalkere,3 BHK,Sothin ,1850,3.0,3.0,95.0,1850.0,3,5135.135135135135,other
Super built-up  Area,Ready To Move,Harlur,3 BHK,Unknown,1754,3.0,2.0,132.0,1754.0,3,7525.655644241733,Harlur
Super built-up  Area,Ready To Move,Anugrah Layout,3 BHK,Saavena,1567,3.0,1.0,100.0,1567.0,3,6381.620931716656,other
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Thiced ,1695,3.0,3.0,50.0,1695.0,3,2949.8525073746314,Hoskote
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Srdids ,1150,2.0,1.0,69.44,1150.0,2,6038.260869565217,Bellandur
Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,Unknown,2350,3.0,2.0,210.0,2350.0,3,8936.170212765957,1st Block Koramangala
Super built-up  Area,Ready To Move,Karuna Nagar,2 BHK,AjityIn,1057,2.0,1.0,65.0,1057.0,2,6149.479659413434,Karuna Nagar
Super built-up  Area,19-Dec,Hebbal,2 BHK,Raard B,1320,2.0,1.0,91.0,1320.0,2,6893.939393939394,Hebbal
Super built-up  Area,Ready To Move,Bandepalya,2 BHK,Jaity H,1125,2.0,1.0,48.0,1125.0,2,4266.666666666667,other
Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,Unknown,2254,3.0,2.0,170.0,2254.0,3,7542.147293700089,Kanakpura Road
Super built-up  Area,20-Jan,Balagere,1 BHK,Soresea,645,1.0,1.0,34.18,645.0,1,5299.224806201551,Balagere
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Unknown,1050,2.0,2.0,52.08,1050.0,2,4960.0,Rachenahalli
Super built-up  Area,18-May,Panathur,2 BHK,Saite G,1040,2.0,1.0,41.6,1040.0,2,4000.0,Panathur
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,Unknown,1760,3.0,2.0,115.0,1760.0,3,6534.090909090909,1st Block Jayanagar
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,AsastDe,984,2.0,1.0,45.91,984.0,2,4665.650406504065,Sarjapur  Road
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2.0,2.0,38.65,1140.0,2,3390.3508771929824,Raja Rajeshwari Nagar
Super built-up  Area,19-Dec,Whitefield,3 BHK,Eznuee ,3596,3.0,1.0,200.0,3596.0,3,5561.735261401557,Whitefield
Super built-up  Area,Ready To Move,Kalkere,3 BHK,Unknown,1365,3.0,2.0,54.0,1365.0,3,3956.043956043956,other
Super built-up  Area,Ready To Move,Bethel Nagar,1 BHK,Unknown,560,1.0,0.0,19.0,560.0,1,3392.8571428571427,other
Super built-up  Area,Ready To Move,Bellandur,4 BHK,Unknown,1540,4.0,3.0,45.0,1540.0,4,2922.0779220779223,Bellandur
Built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1050,2.0,1.0,39.0,1050.0,3,3714.285714285714,Electronic City
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,3.0,72.5,1550.0,3,4677.419354838709,Rachenahalli
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1653,3.0,3.0,93.0,1653.0,3,5626.134301270417,Yelahanka
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,Krite D,1471,2.0,3.0,75.0,1471.0,3,5098.572399728077,other
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,Unknown,700,2.0,1.0,35.0,700.0,2,5000.0,Kanakpura Road
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,Wharl P,812,2.0,1.0,38.25,812.0,2,4710.591133004926,Kudlu Gate
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,GRhtsei,1504,2.0,2.0,83.0,1504.0,3,5518.617021276596,8th Phase JP Nagar
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Unknown,1450,3.0,2.0,75.0,1450.0,3,5172.413793103448,Mahadevpura
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,2.0,54.5,957.0,2,5694.879832810867,Kannamangala
Carpet  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,460,1.0,1.0,13.0,460.0,1,2826.086956521739,Attibele
Plot  Area,Ready To Move,poornaprajna layout,2 Bedroom,Unknown,900,2.0,0.0,128.0,900.0,2,14222.222222222223,other
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,85.0,1820.0,3,4670.32967032967,Budigere
Super built-up  Area,19-Dec,Varthur Road,2 BHK,Unknown,1033,2.0,2.0,32.0,1033.0,2,3097.773475314618,Varthur Road
Plot  Area,Ready To Move,Kumaraswami Layout,2 Bedroom,Unknown,800,1.0,1.0,90.0,800.0,2,11250.0,Kumaraswami Layout
Plot  Area,Ready To Move,Kadabagere,1 Bedroom,Unknown,520,2.0,0.0,29.0,520.0,1,5576.923076923077,other
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,Unknown,1165,2.0,2.0,88.5,1165.0,2,7596.56652360515,OMBR Layout
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Unknown,1280,2.0,1.0,61.0,1280.0,2,4765.625,Gottigere
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Unknown,1950,3.0,3.0,230.0,1950.0,3,11794.871794871795,other
Plot  Area,Ready To Move,BTM 4th Stage,1 Bedroom,Unknown,600,1.0,0.0,58.0,600.0,1,9666.666666666666,other
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3.0,3.0,65.1,1550.0,3,4199.999999999999,Kanakpura Road
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,PuonsSe,1392,2.0,1.0,130.0,1392.0,2,9339.080459770115,Nagavarapalya
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,3.0,75.0,1221.0,3,6142.506142506142,Jigani
Super built-up  Area,Ready To Move,AMS Layout,1 BHK,Choomu ,1000,1.0,1.0,19.0,1000.0,1,1900.0,other
Built-up  Area,Ready To Move,KR Garden,2 BHK,Unknown,1300,2.0,2.0,60.0,1300.0,2,4615.384615384615,other
Built-up  Area,Ready To Move,Hoskote,2 BHK,Corus C,1065,2.0,3.0,31.5,1065.0,2,2957.7464788732395,Hoskote
Built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,KHatsFl,1209,2.0,3.0,65.0,1209.0,3,5376.344086021505,Yelahanka New Town
Plot  Area,Ready To Move,BTM 1st Stage,1 Bedroom,Unknown,375,1.0,0.0,40.0,375.0,1,10666.666666666666,other
Plot  Area,Ready To Move,Dollars Colony,3 Bedroom,Unknown,7800,3.0,2.0,2000.0,7800.0,3,25641.02564102564,other
Super built-up  Area,19-Mar,Sarjapur  Road,3 BHK,PualeSk,1929,4.0,1.0,101.0,1929.0,3,5235.873509590461,Sarjapur  Road
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Soncy R,1255,2.0,1.0,84.0,1255.0,2,6693.227091633466,Hennur Road
Super built-up  Area,19-Dec,Jalahalli,2 BHK,DSata S,1035,2.0,1.0,31.05,1035.0,2,3000.0,Jalahalli
Plot  Area,Ready To Move,Annapurneshwari Nagar,4 Bedroom,Unknown,1200,5.0,2.0,270.0,1200.0,4,22500.0,other
Super built-up  Area,18-May,Banashankari,3 BHK,Bregae ,1650,3.0,2.0,101.0,1650.0,3,6121.212121212121,Banashankari
Built-up  Area,Ready To Move,Whitefield,3 BHK,Laave E,1275,2.0,3.0,65.0,1275.0,3,5098.0392156862745,Whitefield
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.58,1128.0,2,5813.829787234043,Electronic City
Super built-up  Area,21-Nov,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,2.0,58.56,1183.0,2,4950.126796280642,Thanisandra
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1155,2.0,1.0,39.0,1155.0,2,3376.6233766233768,Whitefield
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Unknown,1245,2.0,2.0,43.57,1245.0,3,3499.598393574297,Kengeri
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Unknown,1000,2.0,1.0,38.0,1000.0,2,3800.0,Akshaya Nagar
